公共	公共	gong1gong4	public; common (use)
议题	議題	yi4ti2	subject under discussion; issue
核能	核能	he2neng2	nuclear energy
电厂	電廠	dian4chang3	power station
由	由	you2	through; via; by; from; let (someone do something)
专家	專家	zhuan1jia1	expert; specialist
全面	全面	quan2mian4	all-around; comprehensive; fully
民意	民意	min2yi4	the will of the people; public opinion
代表	代表	dai4biao3	represent; to delegate; on behalf of
处理	處理	chu3li3	deal with; to handle; dispose of; to process; sell at a discount; punish
政党	政黨	zheng4dang3	political party
难道	難道	nan2dao4	could it be that ...?; don't tell me ...
满	滿	man3	full; orig. plentiful; abundant; 
宪法	憲法	xian4fa3	constitution; charter
投票权	投票權	tou2piao4quan2	right to vote; suffrage
选举	選舉	xuan3ju3	to elect; election
权利	權利	quan2li4	right; privilege
表示	表示	biao3shi4	express; show; indicate
反映	反映	fan3ying4	reflect; reflection; report on
为	為	wei2, wei4	be; become; for; on account of
服务	服務	fu2wu4	serve; service
职位	職位	zhi2wei4	(professional) position
任期	任期	ren4qi1	term of office; tenure of office
选民	選民	xuan3min2	voter; electorate; constituency
完美	完美	wan2mei3	perfect
积极	積極	ji1ji2	active; positive; energetic
最佳	最佳	zui4jia1	optimal; best
推销员	推銷員	tui1xiao1yuan2	salesperson
有道理	有道理	you3dao4li5	make sense; reasonable
候选人	候選人	hou4xuan3ren2	candidate
学术界	學術界	xue2shu4jie4	academic circles; academia
从政	從政	cong2zheng4	go into politics; take up a government post
政策	政策	zheng4ce4	policy
安定	安定	an1ding4	stable; quiet; settled; stabilize; calm and orderly
辞	辭	ci2	bid farewell; resign; diction
头脑	頭腦	tou2nao3	brain; mind
改革	改革	gai3ge2	reform
看法	看法	kan4fa3	point of view; opinion
教育	教育	jiao4yu4	education; to educate
方面	方面	fang1mian4	aspect; field; side; respect
得到	得到	de2dao4	get; obtain
连任	連任	lian2ren4	re-elect; renew one's term of office
届	屆	jie4	arrive at; period; session; (mw for events; meetings; etc.); fall due
支持度	支持度	zhi1chi2du4	degree of support; percentage of vote
落选	落選	luo4 xuan3	lose an election
得票率	得票率	de2piao4lv4	percentage of votes obtained
预期	預期	yu4qi1	expect; expected; anticipate
暂时	暫時	zan4shi2	temporary; transient; for the moment
老家	老家	lao3jia1	native place; place of origin; hometown
形象	形象	xing2xiang4	image; imagery; vivid; visualization
商量	商量	shang1liang5	consult; talk over; discuss
人脉	人脈	ren2mai4	human relations; contacts
弱势	弱勢	ruo4shi4	weak; disadvantaged; inferior
退休	退休	tui4xiu1	retirement (from work); retire
事业	事業	shi4ye4	undertaking; project; cause; enterprise; career; publicly funded institution
捐	捐	juan1	to contribute; to donate; to subscribe to; to abandon; to relinquish; contribution; tax
义务	義務	yi4wu4	duty; obligation; volunteer duty
经费	經費	jing1fei4	funds; expenses
竞选	競選	jing4xuan3	run for (electoral) office; take part in an election
也许	也許	ye3xu3	perhaps; probably; maybe
政治界	政治界	zheng4zhi4jie4	political circles; the world of politics
权力	權力	quan2li4	power; authority
辞掉	辭掉	ci2diao4	resign from a post; sack and get rid of; give up
提出	提出	ti2chu1	put forward; propose; advance; submit (an application); to post (on a website)
国民年金	國民年金	guo2min2nian2jin1	National pension
中间选民	中間選民	zhong1jian1xuan3min2	swing voters
一阵子	一陣子	yi2zhen4zi5	a period of time
下一步	下一步	xia4yi2bu4	next step
尽可能	儘可能	jin3ke3neng2	to the best of one's ability; as far as possible
出版社	出版社	chu1ban3she4	publishing house; publisher
捐出	捐出	juan1chu1	donate
二手书	二手書	er4shou3shu1	second hand book
