擤鼻涕	擤鼻涕	xing3bi2ti4	blow one's nose
场	場	chang3, chang2	courtyard; place; field; (mw for games, performances, etc.)<br/>threshing floor
强调	強調	qiang2diao4	emphasize; to stress
团体	團體	tuan2ti3	group; organization; team
千万	千萬	qian1wan4	ten million; be sure to; must
钢琴	鋼琴	gang1qin2	piano
小提琴	小提琴	xiao3ti2qin2	violin; fiddle
古典	古典	gu3dian3	classical
画家	畫家	hua4jia1	painter (artist)
画	畫	hua4	draw; picture; painting
舞蹈	舞蹈	wu3dao3	dance
文学	文學	wen2xue2	literature
绘画	繪畫	hui4hua4	drawing; painting
等	等	deng3	wait; await; when; till; class; rank; grade; kind; sort; equal; and so on; etc.
寺庙	寺廟	si4miao4	temple; monastery
表现	表現	biao3xian4	to show; to display; show off; manifestation; performance
之	之	zhi1	(literary equivalent to 的); (pronoun); of
剧情	劇情	ju4qing2	the story (or plot) of a play or opera
导演	導演	dao3yan3	to direct; director
所	所	suo3	place; office; that which; (mw for houses, buildings, facilities)
红	紅	hong2	red; symbol of success; bonus; popular
明星	明星	ming2xing1	(movie, etc.) star; celebrity
演技	演技	yan3ji4	acting skill; performing capacity
得	得	de2, dei3, de5	obtain; must; (complement particle)
奖	獎	jiang3	prize; award; encouragement
广场	廣場	guang3chang3	public square; plaza
或	或	huo4	or; perhaps
仔细	仔細	zi3xi4	careful; attentive; cautious
留意	留意	liu2yi4	to be mindful; to pay attention to; keep one's eyes open
处处	處處	chu4chu4	everywhere; in all respects
满足	滿足	man3zu2	satisfied; contented; satisfy; meet the needs of
丰盛	豐盛	feng1sheng4	sumptuous; lavish
国家戏剧院	國家戲劇院	guo2jia1xi4ju4yuan4	National Theater
云门舞集	雲門舞集	Yun2men2 Wu3ji2	Cloud Gate Theater, a modern dance group from Taipei
国家音乐厅	國家音樂廳	Guo2jia1yin1yue4ting1	National Concert Hall
金马影展	金馬影展	Jin1ma3 Ying3zhan3	Golden Horse Film Festival in Taipei
现代舞	現代舞	xian4dai4wu3	contemporary dance
无人不知无人不晓	無人不知無人不曉	 wu2ren2 bu4zhi1 wu2ren2 bu4 xiao3	known to all
百闻不如一见	百聞不如一見	bai3 wen2 bu4ru2 yi2jian4	a picture is worth a thousand words; (literally) hearing a hundred times is not as good as seeing once
老街	老街	lao3jie1	old street; Laojie Shenzhen Metro Station
街头艺术	街頭藝術	jie1tou2yi4shu4	Street Art
装置艺术	裝置藝術	zhuang1zhi4yi4shu4	installation art
填饱	填飽	tian2bao3	fill yourself up
口腹之欲	口腹之慾	kou3fu4zhi1yu4	have a great appetite
李文丽	李文麗	Li3wen2li4	Li Wenli
外婆	外婆	wai4po2	maternal grandmother
女装	女裝	nv3zhuang1	ladies' wear; women's clothing
何必	何必	he2bi4	why should; there is no need to
指	指	zhi3	finger; to point; refer to
划算	划算	hua2suan4	(colloquial) worth the price; to one's profit or benefit; consider; calculate
身材	身材	shen1cai2	build; figure; stature (weight & height)
模特儿	模特兒	mo2te4r5	a (fashion) model
不见得	不見得	bu2jian4de5	not necessarily; not likely
仿冒品	仿冒品	fang3mao4pin3	counterfeit object; imitation; fake; pirated goods
瑕疵	瑕疵	xia2ci1	flaw; blemish
图片	圖片	tu2pian4	image; picture; photograph
落差	落差	luo4cha1	drop in elevation (of water); gap (in wages, expectations etc)
提供	提供	ti2gong1	to supply; provide; furnish
资讯	資訊	zi1xun4	information
疑问	疑問	yi2wen4	doubt; question; query
嘛	嘛	ma5, ma2	modal article (used to emphasize the obvious, express hope, or give advice) 
惯	慣	guan4	accustomed to; used to
浏览	瀏覽	liu2lan3	browse; glance over; skim through
后悔	後悔	hou4hui3	to regret; repent
深夜	深夜	shen1ye4	very late at night
任何	任何	ren4he2	any; whatever; whichever
骇客	駭客	hai4ke4	hacker (computing)
盗用	盜用	dao4yong4	use illegally
认证	認證	ren4zheng4	authenticate; approve; certification; authentification
银发族	銀髮族	yin2 fa1 zu2	silver head
从前	從前	cong2qian2	previously; formerly; in the past; once upon a time
通常	通常	tong1chang2	regular; usual; normal; ordinary; usually
取货	取貨	qu3huo4	to pick up merchandise
付款	付款	fu4 kuan3	to pay
云端科技	雲端科技	yun2duan1ke1ji4	Cloud technology
宅经济	宅經濟	zhai2jing1ji4	Otaku (stay-at-home)/ the express economy
用不惯	用不慣	yong4bu2guan4	cannot get used to using
退换	退換	tui4huan4	exchange/replace a purchase
信用卡	信用卡	xin4yong4ka3	credit card
缩短	縮短	suo1duan3	shorten; cut down; curtail
人们	人們	ren2men5	people
距离	距離	ju4li2	distance; be apart from
