char	chap	tocfl	definition	heisig	top3000	tuttle	words
仔	2	3	careful; fine; detailed; young animal; responsibility; burden	0	1999	1117	['仔細']
細	2	3	fine; delicate; thin; slender	249	1017	460	['細心', '詳細', '仔細', '精細', '細胞', '細節', '細菌', '細小']
豐	2	3	plentiful; abundant	0	1169	951	['豐盛', '豐收']
盛	2	5	contain; to ladle; to fill; to pick up with a utensil; flourishing; grand; abundant	0	2418	958	['盛', '盛情', '盛行', '盛裝', '旺盛']
戲	2	2	to play; to joke; show; drama; opera	0	1424	545	['戲', '戲劇', '戲曲']
劇	2	3	drama; play; show; severe	0	1425	601	['劇情', '連續劇', '戲劇', '悲劇', '電視劇', '歌劇', '京劇', '劇場', '劇烈', '劇院', '喜劇', '話劇']
院	2	2	courtyard; institution	326	989	282	['出院', '法院', '後院', '劇院', '美容院', '前院', '住院']
曉	2	4	dawn; daybreak; make explicit; know	0	168	1458	['揭曉']
藝	2	3	art; skill	441	1134	481	['文藝', '工藝品', '技藝']
裝	2	2	to load; dress up; pretend; clothing; to install	525	918	566	['服裝', '假裝', '安裝', '包裝', '化裝', '西裝', '裝飾', '盛裝', '套裝', '武裝', '裝備', '裝潢', '裝配', '裝運', '裝置', '組裝']
置	2	3	install; to place; put; buy	0	69	854	['位置', '設置', '安置', '裝置']
藝	2	3	art; skill	441	1134	481	['文藝', '工藝品', '技藝']
腹	2	-1	abdomen; stomach; belly	0	437	1676	[]
慾	2	-1	desire; want; wish (variant)	0	647	1985	[]
麗	3	5	beautiful; Korea	0	1429	634	[]
婆	3	3	grandmother; mother-in-law; matron	0	657	967	['婆婆', '婆婆', '婆家']
裝	3	2	to load; dress up; pretend; clothing; to install	525	918	566	['服裝', '假裝', '安裝', '包裝', '化裝', '西裝', '裝飾', '盛裝', '套裝', '武裝', '裝備', '裝潢', '裝配', '裝運', '裝置', '組裝']
划	3	4	to row; to paddle; to scratch; draw or mark a line	599	1631	2636	['划不來', '划得來']
材	3	3	material; timber; talent; aptitude	0	1835	892	['教材', '題材', '器材', '身材', '棺材', '木材', '取材']
模	3	3	model; imitate; mold; pattern	0	218	687	['模仿', '模糊', '模型', '模樣', '模範', '模具', '模式']
仿	3	4	imitate; to copy; resemble	0	2018	2089	['仿冒', '仿造', '相仿']
瑕	3	5	blemish; flaw in jade	0	0	2967	[]
疵	3	5		0	0	0	['瑕疵']
落	3	4	to fall; drop off; decline; stay behind<br/>leave out/behind	0	287	391	['落', '落後', '落實', '落伍', '部落', '擊落', '流落', '落得', '落魄', '落選', '沒落', '失落']
供	3	3	supply; provide; furnish; offering; confess	0	1306	672	['供', '供應', '供給', '供養']
疑	3	4	to doubt; to suspect; disbelieve	0	2366	927	['疑問', '狐疑', '無疑', '嫌疑', '疑慮', '質疑']
嘛	3	3	modal article (used to emphasize the obvious, express hope, or give advice)	847	1750	2050	['幹嘛']
瀏	3	-1		0	0	0	[]
覽	3	4	to see; to view; read	778	2435	1476	['遊覽']
悔	3	4	regret; repent	0	1773	2094	['悔恨']
駭	3	-1	shock; be astonished; startle	0	0	2957	[]
盜	3	3	steal; rob; plunder; a thief; a bandit	0	2421	1756	[]
證	3	2	certificate; proof; to demonstrate	0	1258	562	['保證', '證明', '證書', '身分證', '證件', '證據', '證明', '證實', '准考證', '證券行', '見證', '實證', '印證', '證券', '證人', '作證', '做證']
銀	3	4	Silver (chemistry); silver colored; related to money or currency	305	1082	582	['銀幕', '銀色', '銀子']
族	3	3	race; nationality; ethnicity; clan	763	927	595	['貴族', '種族']
通	3	2	go through; know well; connect; (mw for complete activities, such as phone calls, stint of music playing, etc.)	611	1053	239	['溝通', '通', '通過', '通知', '卡通', '普通', '普通話', '通', '通常', '通過', '通信', '通訊', '變通', '流通', '通', '通報', '通車', '通稱', '通貨膨脹', '通緝', '通行', '通用']
貨	3	2	goods; commodities; products	0	772	820	['貨物', '存貨', '貨幣', '貨品', '交貨', '期貨', '售貨員', '通貨膨脹']
款	3	4	section; paragraph; fund; sum of money; (mw for versions or models)	0	2098	755	['貸款', '匯款', '捐款', '款式', '放款', '付款', '款', '款待']
端	3	4	end; beginning; extremity; carry; hold something level	0	890	954	['端正', '極端', '尖端']
宅	3	4	residence; dwelling; (coll.) to stay in at home	0	1382	1744	['宅']
縮	3	4	withdraw; pull back; to shrink	0	2316	1057	['縮短', '縮水', '緊縮', '收縮', '縮小', '萎縮', '壓縮']
距	3	3	at a distance; distance; be apart	0	2613	1054	['距離', '差距', '距離']
例	3	4	example; precedent; rule	636	755	556	['慣例', '舉例', '例外', '例', '破例', '實例', '條例', '照例']
眾	3	3	multitude; crowd; masses; public	0	783	436	['聽眾', '大眾', '民眾', '群眾']
詢	3	5	inquire into; ask about	0	1620	1776	[]
況	3	3	moreover; situation	381	143	565	['情況', '何況', '狀況', '概況', '實況']
避	3	3	to avoid; to evade; to shun; to flee; to escape;; to prevent; to keep away from; to hide from; to repel; to leave	0	1121	916	['逃避', '避難', '避孕', '躲避']
若	3	5	be like; as if; if	0	212	941	['若', '若干', '倘若']
例	3	4	example; precedent; rule	636	755	556	['慣例', '舉例', '例外', '例', '破例', '實例', '條例', '照例']
碌	3	4	(of a person) ordinary; mediocre; busy; laborious; small stone; to record; to employ	0	874	2130	[]
確	3	3	real; true; firmly; authentic; indeed	447	507	549	['確認', '正確', '的確', '明確', '確實', '準確', '確保', '確切', '確實']
控	3	4	accuse; to charge; to control	0	998	881	['指控']
制	3	3	system; formulate; restrict	0	393	350	['制度', '管制', '控制', '限制', '制定', '制訂', '制止', '編制', '抵制', '法制', '機制', '克制', '統制', '學制', '壓制', '抑制', '制裁', '專制', '自制']
盯	3	4	to stare; to gaze	0	1509	0	[]
螢	3	-1	firefly; glow-worm	0	2069	2298	[]
幕	3	4	stage curtain; veil; tent; screen	0	385	838	['閉幕', '揭幕', '開幕', '幕', '序幕', '銀幕']
疲	3	4	feel tired; be exhausted; weary	0	2598	1805	['疲勞', '疲憊']
倦	3	4	tired; weary	0	2381	2081	[]
負	3	3	to bear; to lose; negative	556	61	712	['負責', '欺負', '抱負', '擔負', '負', '負面', '辜負']
沉	3	4	submerge; sink; deep; heavy	0	289	809	['沉默', '沉思', '沉重', '深沉']
迷	3	3	be lost; bewilder; crazy about; fanatic; fan; to charm	0	724	767	['迷路', '昏迷', '迷', '迷糊', '迷失', '迷信', '迷宮', '迷惑', '迷戀']
形	3	2	form; shape; appearance	0	1261	270	['地形', '形容', '長方形', '三角形', '形成', '形式', '形象', '形狀', '圓形', '正方形', '變形', '畸形', '無形', '形勢', '形態', '形體', '形形色色', '形形色色', '有形', '原形']
距	3	3	at a distance; distance; be apart	0	2613	1054	['距離', '差距', '距離']
鬧	3	2	make noise; stir up trouble; disturbance	0	1662	1135	['鬧鐘', '吵鬧', '鬧', '鬧區']
慮	3	4	consider; think over; to worry	0	1422	1115	['疑慮']
總	3	2	always; general; assemble; total	553	1475	226	['總而言之', '總算', '總統', '總之', '總共', '總理', '總裁', '總得', '總額', '總和', '總結', '總經理', '總數']
